Date(YMD),Demand
2015-07-01,21312.65012856475
2015-08-01,21300.49462365591
2015-09-01,19707.818055555555
2015-10-01,16206.618279569893
2015-11-01,16459.000833333335
2015-12-01,16996.37634408602
2016-01-01,18308.025537634407
2016-02-01,18182.353448275862
2016-03-01,16565.966923796168
2016-04-01,16041.64861111111
2016-05-01,16544.186827956986
2016-06-01,19009.213888888888
2016-07-01,22154.49462365591
2016-08-01,22814.4314516129
2016-09-01,19102.438888888886
2016-10-01,16245.318548387097
2016-11-01,16578.875722222223
2016-12-01,18034.34677419355
2017-01-01,17956.129032258064
2017-02-01,17422.72470238095
2017-03-01,17493.14323281907
2017-04-01,15675.202777777777
2017-05-01,15966.966397849461
2017-06-01,18892.472222222223
2017-07-01,20718.139784946237
2017-08-01,19874.06989247312
2017-09-01,18225.358333333334
2017-10-01,16564.06317204301
2017-11-01,16776.94111111111
2017-12-01,18482.67069892473
2018-01-01,19241.451612903224
2018-02-01,17767.808035714286
2018-03-01,17279.79423796166
2018-04-01,16267.234722222223
2018-05-01,16526.583333333332
2018-06-01,18541.343055555553
2018-07-01,22039.284946236556
2018-08-01,22384.809139784942
2018-09-01,19081.820833333335
2018-10-01,16603.1626344086
2018-11-01,17114.252555555555
2018-12-01,17722.290322580644
2019-01-01,18714.274193548386
2019-02-01,18161.616071428572
2019-03-01,17159.09724170173
2019-04-01,15457.745833333332
2019-05-01,15525.858870967742
2019-06-01,17889.88611111111
2019-07-01,22474.442204301075
2019-08-01,20300.081989247312
2019-09-01,17479.63611111111
2019-10-01,15728.02822580645
2019-11-01,16667.3165
2019-12-01,17811.771505376342
2020-01-01,17638.275537634407
2020-02-01,17368.701149425287
2020-03-01,15638.70932678822
2020-04-01,14334.1
2020-05-01,14372.38440860215
2020-06-01,17946.008333333335
2020-07-01,22093.11693548387
2020-08-01,20376.379032258064
2020-09-01,16988.606944444444
2020-10-01,15273.157258064517
2020-11-01,15687.586722222222
2020-12-01,17377.450268817207
2021-01-01,17771.639784946237
2021-02-01,18080.5625
2021-03-01,16038.241526414213
2021-04-01,14736.997222222222
2021-05-01,15208.821236559139
2021-06-01,19090.951388888887
2021-07-01,20119.805107526878
2021-08-01,21014.764784946234
2021-09-01,17495.751388888886
2021-10-01,15530.072580645161
2021-11-01,16114.322277777777
2021-12-01,16997.802419354837
2022-01-01,18773.190860215054
2022-02-01,17869.202380952378
2022-03-01,17307.673333333332
